Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A902039,Krispy,4/11/2024 16:32,Apr-24,16008 Littig Rd in Travis (TX),Abandoned,Normal,Dog,Intact Female,10 months,Standard Schnauzer Mix,Brown/White
A899487,Cookie,4/11/2024 16:42,Apr-24,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,3 months,Pit Bull Mix,White/Black
A902047,*Martian,4/11/2024 18:54,Apr-24,8411 Riverstone Dr in Austin (TX),Stray,Injured,Dog,Intact Male,3 years,American Bulldog,White/Blue
A902052,Apollo,4/12/2024 8:06,Apr-24,183 Hergotz Lane in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Blue Lacy Mix,Fawn
A902072,Peanut,4/12/2024 10:15,Apr-24,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Chihuahua Shorthair,Tan/White
A902055,Jaximo,4/12/2024 10:25,Apr-24,15148 Eiler Road in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Brown
A902060,*Charlene,4/12/2024 10:30,Apr-24,7109 Burleson Manor Road in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Bloodhound,Tan
A902059,Mazda,4/12/2024 10:30,Apr-24,7109 Burleson Manor Road in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Pointer Mix,Tricolor
A902067,Letty,4/12/2024 10:53,Apr-24,3525 River Road in Travis (TX),Abandoned,Normal,Dog,Intact Female,1 month,Catahoula Mix,Chocolate/White
A902066,*Fiat,4/12/2024 10:53,Apr-24,3525 River Road in Travis (TX),Abandoned,Normal,Dog,Intact Female,1 month,Catahoula Mix,Red
A902068,Jake,4/12/2024 10:53,Apr-24,3525 River Road in Travis (TX),Abandoned,Normal,Dog,Intact Male,1 month,Catahoula Mix,Brown
A902070,*Rolls Royce,4/12/2024 10:53,Apr-24,3525 River Road in Travis (TX),Abandoned,Normal,Dog,Intact Male,1 month,Catahoula Mix,Blue Merle
A902063,Cash,4/12/2024 10:53,Apr-24,3525 River Road in Travis (TX),Abandoned,Normal,Dog,Intact Male,1 month,Catahoula Mix,Brown Merle
A902062,*Dodge,4/12/2024 10:53,Apr-24,3525 River Road in Travis (TX),Abandoned,Normal,Dog,Intact Male,1 month,Catahoula Mix,Brown Merle
A902064,*Ferrari,4/12/2024 10:53,Apr-24,3525 River Road in Travis (TX),Abandoned,Normal,Dog,Intact Female,1 month,Catahoula Mix,Brown Merle
A902065,*Ford,4/12/2024 10:53,Apr-24,3525 River Road in Travis (TX),Abandoned,Normal,Dog,Intact Male,1 month,Catahoula Mix,Black
A902061,*Porsche,4/12/2024 10:53,Apr-24,3525 River Road in Travis (TX),Abandoned,Normal,Dog,Intact Female,1 month,Catahoula Mix,Blue Merle
A902069,*Bentley,4/12/2024 10:53,Apr-24,3525 River Road in Travis (TX),Abandoned,Normal,Dog,Intact Male,1 month,Catahoula Mix,Blue Merle
A902075,Pepper,4/12/2024 11:08,Apr-24,John Morris And Loyola in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Pit Bull Mix,Black/White
A902073,Nipcey,4/12/2024 11:08,Apr-24,John Morris And Loyola in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Pit Bull Mix,Black/White
A876233,*Beans,4/12/2024 11:43,Apr-24,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,5 years,Pit Bull Mix,Brown Brindle/Black
A902085,*Groot,4/12/2024 12:14,Apr-24,Campfield Parkway And Winterstein Drive in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,Siberian Husky Mix,White
A901972,*Norma,4/12/2024 13:38,Apr-24,South Lamar And Oltorf in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Border Collie Mix,Chocolate/White
A902107,,4/12/2024 13:58,Apr-24,Austin (TX),Owner Surrender,Medical,Dog,Intact Male,2 months,Maltese,White
A902106,*Billy,4/12/2024 14:05,Apr-24,5510 South Ih 35 Road in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Great Pyrenees,White
A902115,,4/12/2024 16:03,Apr-24,7407 Poinsetta Lane in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Chihuahua Shorthair/Dachshund,Brown
A902118,Max,4/12/2024 16:32,Apr-24,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,5 years,English Bulldog,Brown/White
A902121,Petunia,4/12/2024 17:22,Apr-24,3603 Southridge Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,10 years,Chihuahua Shorthair,Black/White
